Age,Gender,Union,M_Status,Education,Reason of unemployment,Desiered Profession,Previous Training,Willing for desired profession,Finincial Capability,Source of fund/no,Govt Seaftynet,EBEK,EBEK-Service
18,Female,Garidaho,Unmarried,SSC,Financial Problem,Outsourcing,No,Yes,No,Relatives,No,No,
32,Female,Garidaho,Widow,SSC,Financial Problem,Tailoring,No,Yes,No,Relatives,No,No,
34,Female,Garidaho,Married,SSC,Lack of Skills,ICT Technician,No,Yes,No,Relatives,No,No,
20,Female,Garidaho,Unmarried,Class 45,Lack of Skills,Tailoring,No,Yes,No,NGO,No,No,
25,Female,Garidaho,Married,Class 67,Lack of Skills,Beef Fatenning,No,Yes,No,NGO,No,No,
19,Female,Garidaho,Married,Class 82,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
23,Female,Garidaho,Married,Below Class 24,Lack of Skills,Bekary Technician,No,Yes,No,NGO,No,No,
19,Female,Garidaho,Unmarried,Alim,Financial Problem,Tissue Culture Technician,No,Yes,No,NGO,No,No,
19,Female,Garidaho,Unmarried,Alim,Financial Problem,Animal Husbandry,No,Yes,No,NGO,No,No,
18,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
27,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,NGO,No,No,
20,Female,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
20,Female,Garidaho,Unmarried,HSC,Lack of Employment,Beef Fatenning,No,Yes,No,NGO,No,No,
23,Female,Garidaho,Married,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
22,Female,Garidaho,Married,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
35,Female,Garidaho,Married,HSC,Financial Problem,RSS Fish Farming,No,Yes,No,NGO,No,No,
22,Female,Garidaho,Unmarried,SSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
22,Female,Garidaho,Unmarried,Dakhil,Financial Problem,Beef Fatenning,No,Yes,No,NGO,No,No,
29,Female,Garidaho,Married,Class 60,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
29,Female,Garidaho,Married,Class 62,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
23,Female,Garidaho,Unmarried,Honours,Financial Problem,ICT Technician,No,Yes,No,Village Society,No,No,
24,Female,Garidaho,Married,Honours,Lack of Skills,Veterinary Doctor,No,Yes,No,Village Society,No,No,
19,Female,Garidaho,Unmarried,Class 11,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
34,Female,Garidaho,Unmarried,Class 18,Lack of Skills,Beef Fatenning,No,Yes,No,Bank,No,No,
25,Female,Garidaho,Unmarried,Class 24,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
21,Female,Garidaho,Unmarried,Class 27,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
24,Female,Garidaho,Unmarried,Class 28,Lack of Skills,Driver,No,Yes,No,Bank,Yes,No,
