Age,Gender,Union,M_Status,Education,Reason of unemployment,Desiered Profession,Previous Training,Willing for desired profession,Finincial Capability,Source of fund/no,Govt Seaftynet,EBEK,EBEK-Service
33,m,Kusumbi,Married,Class 107,Financial Problem,Animal Husbandry,No,Yes,No,NGO,No,Yes,Loan
32,m,Kusumbi,Married,Class 106,Financial Problem,Animal Husbandry,No,Yes,Yes,,No,Yes,Loan
23,m,Kusumbi,Married,HSC,Financial Problem,Animal Husbandry,No,Yes,Yes,,No,Yes,Loan
31,m,Kusumbi,Unmarried,Honours,Favourable Profession Selection Problem,Veterinary Doctor,No,Yes,Yes,,No,Yes,Loan
34,m,Khamarkandi,Married,HSC,Financial Problem,Veterinary Doctor,Yes,Yes,No,Bank,No,Yes,Loan
18,m,Garidaho,Unmarried,Below Class 8,Lack of Skills,Hospitility Management,No,Yes,No,Relatives,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Employment,Electrician,No,Yes,No,Relatives,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,No,Relatives,No,Yes,Loan
19,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,No,Relatives,No,No,
18,f,Garidaho,Unmarried,SSC,Financial Problem,Outsourcing,No,Yes,No,Relatives,No,No,
32,f,Garidaho,Widow,SSC,Financial Problem,Tailoring,No,Yes,No,Relatives,No,No,
34,f,Garidaho,Married,SSC,Lack of Skills,ICT Technician,No,Yes,No,Relatives,No,No,
22,m,Garidaho,Unmarried,Technical,Lack of Employment,Outsourcing,No,Yes,No,Relatives,Yes,No,
25,m,Garidaho,Unmarried,Honours,Lack of Referance Person,ICT Technician,No,Yes,No,Relatives,No,No,
25,m,Garidaho,Unmarried,Masters,Lack of Employment,Outsourcing,No,Yes,No,Relatives,No,No,
21,m,Garidaho,Unmarried,Class 25,Lack of Employment,Driver,No,Yes,No,NGO,No,No,
20,m,Garidaho,Unmarried,Class 26,Lack of Employment,Driver,No,Yes,No,NGO,No,No,
22,m,Garidaho,Unmarried,Class 33,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
19,m,Garidaho,Unmarried,Class 41,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
20,f,Garidaho,Unmarried,Class 45,Lack of Skills,Tailoring,No,Yes,No,NGO,No,No,
18,m,Garidaho,Divorcy,Class 54,Lack of Skills,Mens Parlour/Beautu Parlour,No,Yes,No,NGO,No,No,
25,m,Garidaho,Married,Class 66,Lack of Skills,Beef Fatenning,No,Yes,No,NGO,No,No,
25,f,Garidaho,Married,Class 67,Lack of Skills,Beef Fatenning,No,Yes,No,NGO,No,No,
35,m,Garidaho,Married,Class 68,Lack of Skills,Beef Fatenning,No,Yes,No,NGO,No,No,
19,f,Garidaho,Married,Class 82,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
30,m,Garidaho,Married,Class 102,Lack of Skills,Tailoring,No,Yes,No,NGO,No,No,
23,f,Garidaho,Married,Below Class 24,Lack of Skills,Bekary Technician,No,Yes,No,NGO,No,No,
19,f,Garidaho,Unmarried,Alim,Financial Problem,Tissue Culture Technician,No,Yes,No,NGO,No,No,
19,f,Garidaho,Unmarried,Alim,Financial Problem,Animal Husbandry,No,Yes,No,NGO,No,No,
19,m,Garidaho,Unmarried,Alim,Financial Problem,Animal Husbandry,No,Yes,No,NGO,No,No,
18,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,NGO,No,No,
27,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,NGO,No,No,
20,f,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
20,f,Garidaho,Unmarried,HSC,Lack of Employment,Beef Fatenning,No,Yes,No,NGO,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
18,m,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,No,NGO,No,No,
21,m,Garidaho,Married,HSC,Lack of Skills,Outsourcing,No,Yes,No,NGO,No,No,
23,f,Garidaho,Married,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
22,f,Garidaho,Married,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
35,f,Garidaho,Married,HSC,Financial Problem,RSS Fish Farming,No,Yes,No,NGO,No,No,
21,m,Garidaho,Married,HSC,Lack of Employment,Mobile Servicing Technician,No,Yes,No,NGO,No,No,
22,f,Garidaho,Unmarried,SSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
21,m,Garidaho,Unmarried,SSC,Lack of Employment,Veterinary Doctor,No,Yes,No,NGO,No,No,
19,m,Garidaho,Unmarried,SSC,Financial Problem,Driver,No,Yes,No,NGO,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Tailoring,No,Yes,No,NGO,Yes,No,
30,m,Garidaho,Married,SSC,Financial Problem,Butik-Embroidery,No,Yes,No,NGO,No,No,
22,f,Garidaho,Unmarried,Dakhil,Financial Problem,Beef Fatenning,No,Yes,No,NGO,No,No,
18,m,Garidaho,Unmarried,Fazil,Lack of Skills,Tailoring,No,Yes,No,NGO,No,No,
29,m,Garidaho,Unmarried,Masters,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
29,m,Garidaho,Married,Class 59,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
29,f,Garidaho,Married,Class 60,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
29,m,Garidaho,Married,Class 61,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
29,f,Garidaho,Married,Class 62,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
25,m,Garidaho,Married,Class 94,Lack of Skills,Tailoring,No,Yes,No,Village Society,No,No,
18,m,Garidaho,Married,Class 115,Lack of Employment,Butik-Embroidery,No,Yes,No,Village Society,No,No,
31,m,Garidaho,Married,Below Class 19,Lack of Skills,Tailoring,No,Yes,No,Village Society,No,Yes,BRACK NGO
22,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,Yes,Yes,No,Village Society,No,No,
20,m,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,Village Society,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Employment,AI,No,Yes,No,Village Society,No,Yes,?????
21,m,Garidaho,Married,HSC,Lack of Employment,Butik-Embroidery,No,Yes,No,Village Society,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,ICT Technician,No,Yes,No,Village Society,No,No,
30,m,Garidaho,Married,SSC,Lack of Skills,Tailoring,No,Yes,No,Village Society,No,No,
24,m,Garidaho,Unmarried,Fazil,Financial Problem,Driver,No,Yes,No,Village Society,No,No,
23,f,Garidaho,Unmarried,Honours,Financial Problem,ICT Technician,No,Yes,No,Village Society,No,No,
24,f,Garidaho,Married,Honours,Lack of Skills,Veterinary Doctor,No,Yes,No,Village Society,No,No,
19,f,Garidaho,Unmarried,Class 11,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
34,f,Garidaho,Unmarried,Class 18,Lack of Skills,Beef Fatenning,No,Yes,No,Bank,No,No,
25,f,Garidaho,Unmarried,Class 24,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
21,f,Garidaho,Unmarried,Class 27,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
24,f,Garidaho,Unmarried,Class 28,Lack of Skills,Driver,No,Yes,No,Bank,Yes,No,
21,m,Garidaho,Unmarried,Class 34,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
31,m,Garidaho,Unmarried,Class 35,Lack of Skills,Driver,No,Yes,No,Bank,No,Yes,?? ??????
19,m,Garidaho,Unmarried,Class 42,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,f,Garidaho,Unmarried,Class 43,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
19,f,Garidaho,Unmarried,Class 44,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
18,f,Garidaho,Divorcy,Class 50,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
30,f,Garidaho,Divorcy,Class 51,Lack of Skills,Tailoring,No,Yes,No,Bank,No,Yes,??
35,m,Garidaho,Widow,Class 55,Financial Problem,Tailoring,No,Yes,No,Bank,No,No,
27,m,Garidaho,Married,Class 57,Lack of Skills,Hospitility Management,No,Yes,No,Bank,No,No,
30,m,Garidaho,Married,Class 58,Lack of Employment,Electrician,No,Yes,No,Bank,No,No,
34,m,Garidaho,Married,Class 74,Financial Problem,Veterinary Doctor,No,Yes,No,Bank,No,No,
27,m,Garidaho,Married,Class 75,Lack of Employment,Driver,Yes,Yes,No,Bank,No,No,
25,m,Garidaho,Married,Class 78,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
33,m,Garidaho,Married,Class 81,Lack of Skills,Driver,No,Yes,No,Bank,Yes,Yes,?? ? ?????? ???? ???? ????
18,f,Garidaho,Married,Class 84,Financial Problem,Tailoring,No,Yes,No,Bank,No,No,
30,m,Garidaho,Married,Class 85,Lack of Employment,Tailoring,Yes,Yes,No,Bank,No,No,
19,m,Garidaho,Married,Class 95,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
35,m,Garidaho,Married,Class 103,Lack of Skills,Tailoring,Yes,Yes,No,Bank,No,No,
33,m,Garidaho,Married,Class 108,Financial Problem,Animal Husbandry,No,Yes,No,Bank,No,No,
21,m,Garidaho,Married,Class 110,Lack of Skills,Animal Husbandry,No,Yes,No,Bank,No,No,
30,m,Garidaho,Married,Class 120,Financial Problem,Baby Care,No,Yes,No,Bank,No,No,
19,m,Garidaho,Married,Class 123,Lack of Skills,Chicken-Duck Farming,No,Yes,No,Bank,Yes,No,
19,f,Garidaho,Unmarried,Below Class 10,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
26,m,Garidaho,Separated,Below Class 12,Lack of Skills,Animal Husbandry,No,Yes,No,Bank,No,No,
21,m,Garidaho,Married,Below Class 16,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
