Front  Toe  angle (deg),Angle Rate,"Engine RPM 
(rev/min)",Engine RPM Rate (%),"Rolling Resistance Coefficient
", Rolling Resistance Coefficient Rate (%),"Rolling Resistance Force, (N)",Rolling Resistance Force Rate (%) ,"Energy Consumption, KJ",Energy Consumption Rate (%),Fuel Consumption (ml) ,Fuel Consumption Rate (%), KPL (km/L),KPL Reduction Rate (%)
0.00,0.00,1090,0.00,0.0210,0.00,224.4223,0.00,1346.5340,0.00,348,0.00,17.241,0.00
0.08,0.01,1095,0.46,0.0210,0.01,224.4480,0.01,1346.6878,0.01,352,1.15,17.045,1.14
0.20,0.03,1100,0.92,0.0210,0.20,224.8698,0.20,1349.2189,0.20,356,2.30,16.854,2.25
0.35,0.05,1109,1.74,0.0212,0.94,226.5410,0.94,1359.2459,0.94,363,4.31,16.529,4.13
0.50,0.07,1117,2.48,0.0214,1.99,228.8943,1.99,1373.3656,1.99,369,6.03,16.260,5.69
0.65,0.09,1124,3.12,0.0217,3.41,232.0718,3.41,1392.4306,3.41,375,7.76,16.000,7.20
0.80,0.11,1135,4.13,0.0223,6.20,238.3282,6.20,1429.9689,6.20,384,10.34,15.625,9.37
0.95,0.13,1145,5.05,0.0229,9.31,245.3272,9.31,1471.9633,9.31,392,12.64,15.306,11.22
1.10,0.15,1153,5.78,0.0235,12.03,251.4241,12.03,1508.5444,12.03,398,14.37,15.075,12.56
1.25,0.17,1164,6.79,0.0243,15.59,259.4138,15.59,1556.4828,15.59,405,16.38,14.815,14.07
1.40,0.19,1178,8.07,0.0253,20.76,271.0025,20.76,1626.0152,20.76,414,18.97,14.493,15.94
1.55,0.21,1190,9.17,0.0263,25.20,280.9800,25.20,1685.8803,25.20,421,20.98,14.252,17.34
1.70,0.23,1204,10.46,0.0273,30.00,291.7472,30.00,1750.4832,30.00,428,22.99,14.019,18.69
1.84,0.25,1221,12.02,0.0285,35.88,304.9542,35.88,1829.7255,35.88,436,25.29,13.761,20.18
2.00,0.28,1237,13.49,0.0297,41.36,317.2408,41.36,1903.4447,41.36,443,27.30,13.544,21.44
2.14,0.30,1256,15.23,0.0311,47.96,332.0451,47.96,1992.2703,47.96,451,29.60,13.304,22.84
2.25,0.31,1277,17.16,0.0325,54.88,347.5835,54.88,2085.5007,54.88,459,31.90,13.072,24.18
2.36,0.33,1300,19.27,0.0340,62.09,363.7709,62.09,2182.6257,62.09,467,34.20,12.848,25.48
2.43,0.34,1317,20.83,0.0352,67.67,376.2850,67.67,2257.7100,67.67,473,35.92,12.685,26.43
2.53,0.35,1342,23.12,0.0368,75.29,393.3964,75.29,2360.3786,75.29,481,38.22,12.474,27.65
0.00,0.00,1090,0.00,0.0210,0.00,224.4223,0.00,1346.5340,0.00,348,0.00,17.241,0.00
-0.08,0.01,1097,0.64,0.0210,0.04,224.5165,0.04,1347.0993,0.04,353,1.44,16.997,1.42
-0.20,0.03,1106,1.47,0.0211,0.56,225.6811,0.56,1354.0867,0.56,360,3.45,16.666,3.34
-0.35,0.05,1115,2.29,0.0214,1.79,228.4441,1.79,1370.6648,1.79,368,5.75,16.304,5.43
-0.50,0.07,1125,3.21,0.0218,3.68,232.6797,3.68,1396.0784,3.68,376,8.05,15.957,7.45
-0.65,0.09,1131,3.76,0.0221,5.18,236.0483,5.18,1416.2900,5.18,381,9.48,15.748,8.66
-0.80,0.11,1142,4.77,0.0228,8.48,243.4543,8.48,1460.7259,8.48,390,12.07,15.384,10.77
-0.95,0.13,1152,5.69,0.0234,11.56,250.3589,11.56,1502.1533,11.56,397,14.08,15.113,12.34
-1.10,0.15,1162,6.61,0.0241,15.06,258.2162,15.06,1549.2972,15.06,404,16.09,14.851,13.86
-1.25,0.17,1175,7.80,0.0251,19.55,268.3038,19.55,1609.8228,19.55,412,18.39,14.563,15.53
-1.40,0.19,1185,8.72,0.0259,23.25,276.6044,23.25,1659.6262,23.25,418,20.11,14.354,16.74
-1.55,0.21,1202,10.28,0.0271,29.29,290.1626,29.29,1740.9755,29.29,427,22.70,14.051,18.50
-1.70,0.23,1219,11.83,0.0284,35.13,303.2532,35.13,1819.5194,35.13,435,25.00,13.793,20.00
-1.84,0.25,1237,13.49,0.0297,41.36,317.2408,41.36,1903.4447,41.36,443,27.30,13.544,21.44
-2.00,0.28,1259,15.50,0.0312,48.80,333.9489,48.80,2003.6935,48.80,452,29.89,13.274,23.01
-2.14,0.30,1277,17.16,0.0325,54.88,347.5835,54.88,2085.5007,54.88,459,31.90,13.071,24.19
-2.25,0.31,1300,19.27,0.0340,62.09,363.7709,62.09,2182.6257,62.09,467,34.20,12.847,25.49
-2.36,0.33,1323,21.38,0.0356,69.56,380.5201,69.56,2283.1203,69.56,475,36.49,12.631,26.74
-2.43,0.34,1351,23.94,0.0374,78.20,399.9220,78.20,2399.5323,78.20,484,39.08,12.396,28.10
-2.53,0.35,1386,27.16,0.0397,89.04,424.2538,89.04,2545.5227,89.04,495,42.24,12.121,29.70
0.00,0.00,1090,0.00,0.0210,0.00,224.4223,0.00,1346.5340,0.00,348,0.00,17.241,0.00
0.08,0.01,1097,0.64,0.0210,0.04,224.5165,0.04,1347.0993,0.04,353,1.44,16.997,1.42
0.20,0.03,1101,1.01,0.0210,0.20,224.8698,0.20,1349.2189,0.20,356,2.30,16.854,2.25
0.35,0.05,1107,1.56,0.0211,0.68,225.9440,0.68,1355.6639,0.68,361,3.74,16.620,3.60
0.50,0.07,1115,2.29,0.0214,1.79,228.4441,1.79,1370.6648,1.79,368,5.75,16.304,5.43
0.65,0.09,1123,3.03,0.0216,3.15,231.4860,3.15,1388.9161,3.15,374,7.47,16.043,6.95
0.80,0.11,1132,3.85,0.0221,5.51,236.7870,5.51,1420.7217,5.51,382,9.77,15.707,8.90
0.95,0.13,1141,4.68,0.0227,8.08,242.5483,8.08,1455.2900,8.08,389,11.78,15.424,10.54
1.10,0.15,1151,5.60,0.0233,11.09,249.3131,11.09,1495.8788,11.09,396,13.79,15.152,12.12
1.25,0.17,1162,6.61,0.0241,15.06,258.2162,15.06,1549.2972,15.06,404,16.09,14.851,13.86
1.40,0.19,1175,7.80,0.0251,19.55,268.3038,19.55,1609.8228,19.55,412,18.39,14.563,15.53
1.55,0.21,1187,8.90,0.0260,23.89,278.0466,23.89,1668.2794,23.89,419,20.40,14.320,16.95
1.70,0.23,1202,10.28,0.0271,29.29,290.1626,29.29,1740.9755,29.29,427,22.70,14.052,18.50
1.84,0.25,1216,11.56,0.0282,34.37,301.5662,34.37,1809.3974,34.37,434,24.71,13.825,19.82
2.00,0.28,1234,13.21,0.0295,40.56,315.4460,40.56,1892.6760,40.56,442,27.01,13.575,21.27
2.14,0.30,1251,14.77,0.0307,46.27,328.2719,46.27,1969.6313,46.27,449,29.02,13.363,22.49
2.25,0.31,1272,16.70,0.0321,53.12,343.6346,53.12,2061.8078,53.12,457,31.32,13.129,23.85
2.36,0.33,1291,18.44,0.0334,59.36,357.6301,59.36,2145.7804,59.36,464,33.33,12.931,25.00
2.43,0.34,1308,20.00,0.0346,64.86,369.9908,64.86,2219.9450,64.86,470,35.06,12.766,25.96
2.53,0.35,1335,22.48,0.0364,73.37,389.0772,73.37,2334.4632,73.37,479,37.64,12.526,27.35
0.00,0.00,1089,0.00,0.0210,0.00,224.4786,0.00,1346.8717,0.00,347,0.00,17.291,0.00
-0.08,0.01,1097,0.73,0.0210,0.02,224.5165,0.02,1347.0993,0.02,353,1.73,16.997,1.70
-0.20,0.03,1106,1.56,0.0211,0.54,225.6811,0.54,1354.0867,0.54,360,3.75,16.666,3.61
-0.35,0.05,1113,2.20,0.0213,1.40,227.6131,1.40,1365.6783,1.40,366,5.48,16.393,5.19
-0.50,0.07,1121,2.94,0.0216,2.87,230.9226,2.87,1385.5354,2.87,373,7.49,16.085,6.97
-0.65,0.09,1130,3.76,0.0220,4.83,235.3312,4.83,1411.9870,4.83,380,9.51,15.789,8.69
-0.80,0.11,1140,4.68,0.0226,7.66,241.6628,7.66,1449.9770,7.66,388,11.82,15.463,10.57
-0.95,0.13,1149,5.51,0.0232,10.61,248.2870,10.61,1489.7217,10.61,395,13.83,15.189,12.16
-1.10,0.15,1161,6.61,0.0240,14.50,257.0371,14.50,1542.2227,14.50,403,16.14,14.888,13.90
-1.25,0.17,1171,7.53,0.0248,18.35,265.6747,18.35,1594.0481,18.35,410,18.16,14.634,15.37
-1.40,0.19,1185,8.82,0.0259,23.22,276.6044,23.22,1659.6262,23.22,418,20.46,14.354,16.99
-1.55,0.21,1198,10.01,0.0268,27.87,287.0392,27.87,1722.2354,27.87,425,22.48,14.117,18.36
-1.70,0.23,1214,11.48,0.0280,33.60,299.8934,33.60,1799.3605,33.60,433,24.78,13.856,19.87
-1.84,0.25,1234,13.31,0.0295,40.52,315.4460,40.52,1892.6760,40.52,442,27.38,13.574,21.50
-2.00,0.28,1251,14.88,0.0307,46.24,328.2719,46.24,1969.6313,46.24,449,29.39,13.363,22.72
-2.14,0.30,1272,16.80,0.0321,53.08,343.6346,53.08,2061.8078,53.08,457,31.70,13.129,24.07
-2.25,0.31,1288,18.27,0.0333,58.41,355.6015,58.41,2133.6089,58.41,463,33.43,12.958,25.06
-2.36,0.33,1314,20.66,0.0350,66.69,374.1790,66.69,2245.0739,66.69,472,36.02,12.711,26.49
-2.43,0.34,1338,22.87,0.0366,74.29,391.2336,74.29,2347.4015,74.29,480,38.33,12.500,27.71
-2.53,0.35,1370,25.80,0.0386,84.04,413.1234,84.04,2478.7407,84.04,490,41.21,12.244,29.19
0.00,0.00,1087,0.00,0.0210,0.00,224.5509,0.00,1347.3054,0.00,346,0.00,17.341,0.00
0.16,0.02,1097,0.92,0.0211,0.48,225.6202,0.48,1353.7211,0.48,353,2.02,16.997,1.98
0.40,0.06,1113,2.39,0.0213,1.43,227.7588,1.43,1366.5526,1.43,366,5.78,16.393,5.47
0.70,0.10,1126,3.59,0.0218,3.81,233.1052,3.81,1398.6313,3.81,377,8.96,15.915,8.22
1.00,0.14,1140,4.88,0.0226,7.62,241.6595,7.62,1449.9572,7.62,388,12.14,15.463,10.83
1.30,0.18,1153,6.07,0.0237,12.86,253.4217,12.86,1520.5304,12.86,398,15.03,15.075,13.07
1.60,0.22,1171,7.73,0.0251,19.52,268.3918,19.52,1610.3507,19.52,410,18.50,14.634,15.61
1.90,0.26,1192,9.66,0.0267,27.14,285.5004,27.14,1713.0026,27.14,422,21.97,14.218,18.01
2.20,0.30,1219,12.14,0.0286,36.19,305.8169,36.19,1834.9016,36.19,435,25.72,13.793,20.46
2.50,0.35,1251,15.09,0.0307,46.19,328.2720,46.19,1969.6322,46.19,449,29.77,13.363,22.94
2.80,0.39,1285,18.22,0.0332,58.10,355.0043,58.10,2130.0257,58.10,462,33.53,12.987,25.11
