Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Male,38,Associate Professor,Jahangirnagar University,Jahangirnagar University,Public University (General),PhD,Microbiology,Bangladesh,04,27,Teacher (Local)
Male,38,Assistant Professor,Brac University,BRAC,Private University,PhD,Medical Sciences,Bangladesh,6,16,Teacher (Local)
Male,29,PhD student ,UiT The Arctic University of Norway ,UiT The Arctic University of Norway,Abroad University,Masters/MS,"Microbiology, Chemical Biology ",Norway ,1,10,Researcher (Local/abroad)
Female,29,Ms,Ju,Jahangirnagar University,Public University (General),Masters/MS,Public health,Bangladesh ,2,1,Student (Local)
Male,41,Associate Professor ,University of Rajshahi,Rajshahi  University,Public University (General),PhD,"Microbiology, Biochemistry",Bangladesh ,2,62,Teacher (Local)
Male,40,Asst. Professor  ,"Department o Microbiology, Stamford University Bangladesh",Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh,13,19,Teacher (Local)
Male,35,M. S. in Agricultural Chemistry,BAU,Bangladesh Agricultural University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh,0,0,Service (Local/abroad)
Male,30,Graduate Student,Aichi Medical University,Aichi Medical University,Abroad University,Masters/MS,Biochemistry,Japan,0,5,Researcher (Local/abroad)
Female,29,"Lecturer, Dept. Of Microbiology ",Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,0,3,Teacher (Local)
Male,37,Associate Professor ,University of Rajshahi ,Rajshahi  University,Public University (General),PhD,"Microbiology, Biotechnology/Genetic Engineering",Bangladesh ,10,58,Teacher (Local)
Female,24,Master's student,University of Rajshahi,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh,None,None,Student (Local)
Female,31,Masters,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Australia,17,21,Researcher (Local/abroad)
Female,31,Finished My master degree ,Rajshahi University ,Rajshahi  University,Public University (General),Masters/MS,Biochemistry,Bangladesh ,None,4,Service (Local/abroad)
Female,23,Master student ,Rajshahi University ,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh ,None,None,Student (Local)
Female,25,Master student ,Rajshahi University ,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh ,No publication ,No publication ,Student (Local)
Male,36,Faculty,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Australia,21,25,Teacher (Local)
Male,33,Operation Manager (Lab),Internatiinal Medical College Hospital,Internatiinal Medical College Hospital,Research Organization,Masters/MS,"Biochemistry, Immunology, Public health",Bangladesh ,4,6,Researcher (Local/abroad)
Male,26,M.Sc Student,University of Rajshahi,Rajshahi  University,Public University (General),Bachelor,"Biochemistry, Biotechnology/Genetic Engineering, Immunology",Bangladesh,0,0,Student (Local)
Male,47,Professor ,University of Rajshahi ,Rajshahi  University,Public University (General),PhD,Pharmacy,Bangladesh ,13,67,Teacher (Local)
Male,25,Master’s thesis student ,University of Rajshahi ,Rajshahi  University,Public University (General),Masters/MS,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Public health",Bangladesh ,Nothing ,Nothing ,Student (Local)
Male,38,"Assistant Manager, Microbiology",ACI Hygiene Plant,ACI Hygiene Plant,Others,Masters/MS,Microbiology,Bangladesh,0,0,Service (Local/abroad)
Female,31,Faculty ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh ,11,19,Teacher (Local)
Male,25,Masters,Rajshahi University,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh,0,0,Student (Local)
Male,30,Master Student,University of Rajshahi,Rajshahi  University,Public University (General),Masters/MS,Biochemistry,Bangladesh,0,2,Student (Local)
Female,26,Masters,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh,2,7,Teacher (Local)
Male,36,Postdoctoral Researcher,H. Lee Moffitt Cancer Center and Research Institute ,H. Lee Moffitt Cancer Center and Research Institute,Research Organization,PhD,"Microbiology, Biochemistry, Infectious diseases",United States of America,3,24,Researcher (Local/abroad)
Male,37,Postdoctoral researcher,MD GOLAM MOSTOFA,MD GOLAM MOSTOFA,Research Organization,PhD,"Biochemistry, Immunology, Molecular cell biology",United States,02,12,Researcher (Local/abroad)
Male,29,MSc in microbiology ,Stamford university Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh,no ,3,Service (Local/abroad)
Female,23,Honor's final year,Stamford University Bangladesh,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh,None,None,Student (Local)
Male,24,Medical technologist,Praava Health Care Ltd,Praava Health Care Ltd,Diagnostic centre,Masters/MS,Microbiology,Bangladesh,1,1,Service (Local/abroad)
Male,24,Master Student,Stamford University,Stamford University Bangladesh,Private University,"HSC, Bachelor",Microbiology,Bangladesh,0,0,Service (Local/abroad)
Male,23,Master’s student ,Stamford university Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,30,PhD student ,University of New South Wales (UNSW),University of New South Wales (UNSW),Abroad University,Masters/MS,Biochemistry,Australia ,N/A,9,Researcher (Local/abroad)
Male,31,Master student,University of Chester ,University of Chester,Abroad University,MBBS,Gastroenterology ,United Kingdom ,0,0,Student (Local)
Male,24,MSc in Microbiology ,Stamford University-Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh,No,No,Student (Local)
Male,22,Honor's final year student,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,PhD,Microbiology,Bangladesh ,None,None,Student (Local)
Male,23,Honor's final year,Al Mahmud,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Female,22,Honor's Final Year student ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor running ,Microbiology,Bangladesh ,No publications till now,No publications ,Student (Local)
Male,23,3rd year,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,non,non,Student (Local)
Male,22,Honor's 3rd year ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,"HSC, Bachelor",Microbiology,Bangladesh ,None,None ,Student (Local)
Female,25(1996),Final year,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Male,24,Honor's Final Year,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,HSC,Microbiology,"Bangladesh (Khilgaon, Dhaka)",0,0,Student (Local)
Female,26,Honor’s final year ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Virology, Immunology",Dhaka Bangladesh ,Zero,Zero,Student (Local)
Female,21,Honor's Final Year Student,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,24 years old.,Honors final year.,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,None.,One. Under submitted in the reputed journal. ,Student (Local)
Female,38,Microbiologist ,"IHRC, Inc. contractor at CDC Streptococcus laboratory, USA","IHRC, Inc. contractor at CDC Streptococcus laboratory, USA",Research Organization,PhD,Microbiology,USA,1,3,Researcher (Local/abroad)
